"ID","nb_point"
"A1",4100
"A2",7641
"A3",611
"A4",9062
"A5",2272
"A6",2500
"A7",2542
"A8",7422
"A9",533
"B1",37189
"B2",29151
"B3",59558
"B4",6520
"B5",27967
"B6",11791
"B7",365
"B8",31034
"B9",21795
"C1",1788
"C2",66863
"C3",84178
"C4",11817
"C5",71357
"C6",31317
"C7",4574
"C8",118314
"C9",14877
"D1",71968
"D2",37954
"D3",35777
"D4",16244
"D5",53754
"D6",46777
"D7",15481
"D8",8070
"D9",2439
"E1",17067
"E2",21506
"E3",35971
"E4",81685
"E5",83138
"E6",73190
"E7",14368
"E8",43654
"E9",37989
"F1",13668
"F2",74370
"F3",33453
"F4",22802
"F5",55542
"F6",34531
"F7",30854
"F8",10620
"F9",47201
"G1",9570
"G2",13869
"G3",10908
"G4",14802
"G5",4253
"G6",15316
"G7",2690
"G8",58024
"G9",10901
"H1",14666
"H2",38708
"H3",3193
"H4",2883
"H5",58142
"H6",36899
"H7",7711
"H8",14516
"H9",37991
"I1",30205
"I2",1189
"I3",2293
"I4",15996
"I5",1642
"I6",22360
"I7",34708
"I8",6134
