"bague","ID"
"4025065","A1"
"EA542002","A2"
"EA542017","A3"
"EA580424","A4"
"EA580425","A5"
"EA580426","A6"
"EA580430","A7"
"EA580433","A8"
"EA580432","A9"
"EA580462","B1"
"EA580466","B2"
"EA580467","B3"
"EA580468","B4"
"EA580469","B5"
"EA580470","B6"
"EA580471","B7"
"EA580476","B8"
"EA580477","B9"
"EA580478","C1"
"EA580480","C2"
"EA580481","C3"
"EA580489","C4"
"EA580490","C5"
"EA580491","C6"
"EA580492","C7"
"EA580493","C8"
"EA580494","C9"
"EA580495","D1"
"EA580497","D2"
"EA580498","D3"
"EA580499","D4"
"EA581501","D5"
"EA581504","D6"
"EA581505","D7"
"EA581506","D8"
"EA581507","D9"
"EA581508","E1"
"EA581509","E2"
"EA581511","E3"
"EA581512","E4"
"EA581513","E5"
"EA581514","E6"
"EA581515","E7"
"EA581520","E8"
"EA635119","E9"
"EA635142","F1"
"EA639684","F2"
"EA580500","F3"
"EA581522","F4"
"EA581523","F5"
"EA581527","F6"
"EA581540","F7"
"EA581541","F8"
"EA581542","F9"
"EA581544","G1"
"EA581545","G2"
"EA581546","G3"
"EA581547","G4"
"EA581639","G5"
"EA593051","G6"
"EA635101","G7"
"EA635103","G8"
"EA635104","G9"
"EA635105","H1"
"EA635108","H2"
"EA635109","H3"
"EA635112","H4"
"EA581521","H5"
"EC103787","H6"
"EC103788","H7"
"EC103791","H8"
"EC103792","H9"
"EA671454","I1"
"EC103765","I2"
"EC103766","I3"
"EC110552","I4"
"EN08034","I5"
"EA580463","I6"
"EA580464","I7"
"EA580465","I8"
